Title,Genre,Year,Rating,CriticsScore,AudienceScore
Movie 259,Documentary,2005,4.8,92.8,22.6
Movie 260,Romance,1981,2,52.3,62.5
Movie 261,Horror,1980,6.5,12.6,98.7
Movie 262,Drama,1991,9.4,72.1,18.7
Movie 263,Drama,1984,7,53.4,35.7
Movie 264,Documentary,2016,1.7,21.2,88.3
Movie 265,Documentary,2011,4.2,29.3,16.5
Movie 266,Animation,1988,6,15.8,88.8
Movie 267,Thriller,2020,4.6,61.7,57.2
Movie 268,Documentary,2014,8.5,66,46.7
Movie 269,Sci-Fi,1998,8.3,55.5,37.9
Movie 270,Sci-Fi,1995,6.5,83.5,36.7
Movie 271,Sci-Fi,1982,4.4,87.5,37.5
Movie 272,Romance,1999,3.3,65.4,89.6
Movie 273,Horror,2003,2,11.1,75.1
Movie 274,Drama,2012,4.2,72.6,70.3
Movie 275,Animation,2003,4.7,47.6,81.9
Movie 276,Thriller,1990,7.1,60.9,33.1
Movie 277,Documentary,1987,6.9,68.4,65.6
Movie 278,Action,2015,1.6,41.5,51.4
Movie 279,Adventure,2017,4.6,92.5,80.4
Movie 280,Romance,2019,2.6,22.1,37.8
Movie 281,Comedy,1999,2.4,70.4,67.9
Movie 282,Thriller,2014,8.4,10.4,89.4
Movie 283,Drama,2004,1.4,93.2,46.2
Movie 284,Comedy,2014,4.8,20.1,16
Movie 285,Adventure,2004,2.5,18.5,56.4
Movie 286,Comedy,2008,8.9,40,41.1
Movie 287,Action,1997,6,43.6,70.5
Movie 288,Romance,1997,3.1,29.3,95.6
Movie 289,Sci-Fi,1981,5.5,62.7,53.7
Movie 290,Horror,2014,7.6,49.9,52
Movie 291,Adventure,1995,9.6,13.1,68.9
Movie 292,Thriller,2020,3,38.8,19.3
Movie 293,Comedy,2015,9,82.9,32.8
Movie 294,Horror,2012,9.4,72.1,92.7
Movie 295,Thriller,1983,9.2,75.2,70.3
Movie 296,Adventure,2012,6.7,72.8,11.2
Movie 297,Romance,1993,6.7,38,28.4
Movie 298,Romance,2000,4.6,19,71.5
Movie 299,Documentary,1999,7.8,34.5,78.8
Movie 300,Horror,1987,5.8,84.9,85.6
Movie 301,Comedy,1986,7.1,98.2,36.3
Movie 302,Animation,1982,4.9,54.4,93.8
Movie 303,Sci-Fi,1996,7.6,10.9,59.8
Movie 304,Documentary,2012,8.4,22.6,72.7
Movie 305,Comedy,1991,2.3,39,63.7
Movie 306,Romance,2001,8.5,62.1,21
Movie 307,Documentary,2001,5.9,16.8,96.7
Movie 308,Action,2009,8.6,94.9,21.1
Movie 309,Drama,2017,4.9,42.9,32.9
Movie 310,Drama,2017,4.4,92.1,83.2
Movie 311,Thriller,2024,9.2,80.2,65.7
Movie 312,Thriller,1987,3.3,78,85.4
Movie 313,Comedy,2006,8.6,64.6,56.4
Movie 314,Horror,2006,5.4,66.4,43.9
Movie 315,Documentary,2013,5.6,67.4,93
Movie 316,Action,2000,3.8,66.6,13.3
Movie 317,Horror,2009,6.2,59.8,87.1
Movie 318,Comedy,2012,3.9,98.8,30.8
Movie 319,Drama,2007,1.4,75.9,86.4
Movie 320,Documentary,2012,3.4,79.9,22.5
Movie 321,Drama,1984,1.1,88.5,62.2
Movie 322,Adventure,1998,9.8,29.4,89.9
Movie 323,Comedy,1983,9.7,17.5,52.6
Movie 324,Horror,2014,4.6,53.5,77.2
Movie 325,Action,1996,7.6,56.3,82.4
Movie 326,Documentary,2023,4.1,84.6,76.3
Movie 327,Action,2007,7,49.9,93.3
Movie 328,Action,2009,8.2,61.4,50.2
Movie 329,Sci-Fi,2008,9.5,57.4,25.6
Movie 330,Adventure,1985,4.6,13.4,14.3
Movie 331,Adventure,2014,8,65.4,32.2
Movie 332,Animation,2020,3.4,84.5,22.9
Movie 333,Drama,2016,9.9,24.2,60.2
Movie 334,Thriller,2003,1.2,63.5,26.6
Movie 335,Animation,2008,6.4,63.4,13.5
Movie 336,Action,2010,6.9,24.8,13.2
Movie 337,Drama,2014,7.2,21.1,84.8
Movie 338,Action,2012,2.1,98.2,63.2
Movie 339,Animation,2000,9.4,45.4,42.2
Movie 340,Action,2011,2.6,30.5,90.5
Movie 341,Sci-Fi,2002,6.6,25.4,16.3
Movie 342,Action,2012,3,70.1,98.2
Movie 343,Documentary,1982,3.8,64.9,65.5
Movie 344,Horror,1997,5.9,67.9,26.5
Movie 345,Drama,2004,4.8,17.9,71.1
Movie 346,Horror,2021,2.4,90.4,78.7
Movie 347,Horror,2010,2.5,45,48.6
Movie 348,Adventure,1982,4.8,38.2,87.5
Movie 349,Drama,2019,7.8,51.6,23.6
Movie 350,Sci-Fi,2003,9.1,45.1,35.1
Movie 351,Drama,2011,1.8,87.7,18.4
Movie 352,Sci-Fi,2001,4.5,93.6,29
Movie 353,Sci-Fi,2002,1.9,37.3,31.5
Movie 354,Comedy,1981,1.1,87.8,92.6
Movie 355,Horror,2006,7,80.3,17
Movie 356,Sci-Fi,2021,6.4,93.8,48.5
Movie 357,Animation,1981,2.5,32.1,57.9
Movie 358,Horror,2005,3.1,61.9,90.9
Movie 359,Action,1996,1.2,34.7,99.8
Movie 360,Comedy,2019,8.5,84.2,77.8
Movie 361,Sci-Fi,2012,9.8,10.5,97.4
Movie 362,Thriller,1988,2.2,60.8,80.8
Movie 363,Documentary,2022,3.1,40.5,96.7
Movie 364,Adventure,2018,8.8,39,73.7
Movie 365,Thriller,2008,9.3,68,17.2
Movie 366,Comedy,2021,4.8,86.6,46.2
Movie 367,Drama,2005,1.5,64.8,68.2
Movie 368,Adventure,2014,1.4,86.8,41.6
Movie 369,Comedy,2004,6.2,33.8,34.6
Movie 370,Animation,2003,4.5,56.8,62
Movie 371,Adventure,1992,1.3,50.5,94
Movie 372,Drama,1986,6.2,11,13.1
Movie 373,Romance,2015,1.1,60.1,79.2
Movie 374,Thriller,2024,8.1,69.5,75
Movie 375,Romance,1999,3.8,63.3,96.8
Movie 376,Drama,1980,1.4,76.3,93.8
Movie 377,Comedy,1987,6.3,61.4,78.6
Movie 378,Animation,1995,4.6,16,56.8
Movie 379,Romance,1993,9.8,20.5,28.4
Movie 380,Drama,1991,5.9,63.7,59.1
Movie 381,Thriller,2002,3.5,34.7,78.9
Movie 382,Adventure,1994,7.4,17.2,90.6
Movie 383,Sci-Fi,2007,3.4,48.7,81.1
Movie 384,Drama,2013,9.1,59.9,27.6
Movie 385,Romance,1981,4.4,39.6,64
Movie 386,Action,2011,5.9,74.8,39.9
Movie 387,Comedy,2002,1.5,67.9,10.8
Movie 388,Action,2001,4.8,40,28
Movie 389,Thriller,2004,8.5,77.9,20.2
Movie 390,Action,2001,8.3,68.4,85.8
Movie 391,Comedy,2001,3,67.4,33.3
Movie 392,Comedy,2021,3,59.8,35.6
Movie 393,Romance,1985,8.4,11,96.4
Movie 394,Horror,1994,9.4,72.7,44.1
Movie 395,Drama,2022,1.9,43.8,10.9
Movie 396,Romance,2016,5.1,94.8,35.5
Movie 397,Adventure,2012,4,83.6,20.7
Movie 398,Romance,1987,8.8,62.9,19.3
Movie 399,Animation,2023,1.8,32.7,17
Movie 400,Adventure,2023,2.9,28.3,63.4
Movie 401,Adventure,1984,7.8,40.6,27
Movie 402,Sci-Fi,2018,1.5,52.9,42.5
Movie 403,Drama,1983,5.4,36.6,87.6
Movie 404,Thriller,1985,5,56.3,48.2
Movie 405,Sci-Fi,2024,4,24.9,92.4
Movie 406,Comedy,2011,4.6,98,54.8
Movie 407,Romance,2009,5.8,19.7,45.9
Movie 408,Action,2014,2.5,93.9,77.5
Movie 409,Sci-Fi,2019,6.1,92.2,16.6
Movie 410,Action,1995,8.2,57.3,18.1
Movie 411,Documentary,1992,7.8,75.2,68.7
Movie 412,Documentary,2021,2.4,49.2,53.8
Movie 413,Action,2009,2.3,66.7,81.1
Movie 414,Action,1998,3.4,40.7,92.5
Movie 415,Sci-Fi,1996,4.2,37.1,45
Movie 416,Thriller,1998,4.7,62,63.7
Movie 417,Drama,2007,7.1,54.8,55.1
Movie 418,Documentary,2005,1.5,62.2,98.3
Movie 419,Adventure,2016,1.3,35.8,84.8
Movie 420,Sci-Fi,2005,4.5,43,92.1
Movie 421,Romance,2002,7.3,17.6,32.9
Movie 422,Comedy,1988,2.7,14.7,79.5
Movie 423,Animation,1991,6.8,32.8,33.9
Movie 424,Sci-Fi,1980,3.3,16.7,28.8
Movie 425,Romance,1980,9,19.3,95
Movie 426,Romance,2013,9.1,83.2,11.7
Movie 427,Thriller,2011,3.7,13.5,96.9
Movie 428,Comedy,2004,3.1,69.3,23.4
Movie 429,Comedy,2019,4.7,34.5,83.7
Movie 430,Drama,2024,3.2,88.4,34.8
Movie 431,Adventure,1980,7.1,53.6,41.6
Movie 432,Romance,1995,8.4,37.5,29.5
Movie 433,Action,2018,7.1,56.6,62.7
Movie 434,Comedy,1984,8.4,44.4,41.3
Movie 435,Action,2001,4.6,60.8,69.2
Movie 436,Comedy,2008,2.4,20.3,11.4
Movie 437,Drama,1982,7.6,99.7,15.8
Movie 438,Drama,1991,4.2,48.3,19
Movie 439,Comedy,2005,7,41.3,47.7
Movie 440,Comedy,1995,3.4,73.9,83.3
Movie 441,Thriller,2016,1.7,42.8,89.9
Movie 442,Drama,2001,9.9,85,32
Movie 443,Romance,2008,2.4,50.9,61.7
Movie 444,Comedy,1993,9.9,74.8,79.2
Movie 445,Action,2007,9.8,19.7,36
Movie 446,Documentary,1984,8.1,86.2,46.8
Movie 447,Thriller,2009,6.9,76.2,57.2
Movie 448,Animation,1984,6.2,29.1,22.1
Movie 449,Drama,1991,8.8,23.1,12.3
Movie 450,Thriller,1995,3.6,38.5,23.8
Movie 451,Drama,2005,5.2,97.8,66.4
Movie 452,Action,2005,6.6,33.1,16.6
Movie 453,Action,2000,4.7,51.1,27.1
Movie 454,Animation,2018,4.8,12.7,40.4
Movie 455,Comedy,2015,4,45.8,17
Movie 456,Comedy,2012,6.1,61.4,27.3
Movie 457,Animation,2009,8.7,95.8,92
Movie 458,Comedy,2016,2.8,56.5,11.7
Movie 459,Thriller,2002,9.4,83.7,68.8
Movie 460,Adventure,1989,7.2,59.2,44.6
Movie 461,Drama,1984,8.4,13.7,70.5
Movie 462,Thriller,2015,6,38.4,63
Movie 463,Adventure,2013,8,61.8,30.1
Movie 464,Animation,2010,1.1,95.6,86.2
Movie 465,Action,1989,8.4,87.3,54.3
Movie 466,Adventure,1998,1.4,30.6,84
Movie 467,Action,2011,9,29.8,46.5
Movie 468,Action,1980,9.9,28.1,98.6
Movie 469,Documentary,1984,3.6,93,79.3
Movie 470,Adventure,2024,2.9,86.7,96.9
Movie 471,Thriller,1983,7.9,79.7,56.3
Movie 472,Documentary,1995,3.3,45.3,52.6
Movie 473,Animation,2003,8.8,55.4,78
Movie 474,Adventure,1995,1.9,51.8,89.2
Movie 475,Thriller,1981,2.1,32.8,96.8
Movie 476,Romance,2007,9.8,55.5,39.2
Movie 477,Sci-Fi,2011,7.1,12.7,81.9
Movie 478,Comedy,2006,8.6,21.9,29
Movie 479,Thriller,1999,3.9,89.8,59.1
Movie 480,Comedy,2003,7.1,77.7,26.2
Movie 481,Horror,1991,6.3,48.1,41.3
Movie 482,Romance,2014,6.4,56.5,93.8
Movie 483,Adventure,2012,7.1,43.3,23.1
Movie 484,Action,2012,6.2,76.7,66.9
Movie 485,Comedy,2022,4.9,80.6,63.4
Movie 486,Action,2016,3.5,78.7,20.9
Movie 487,Documentary,1991,7.9,75,39.3
Movie 488,Comedy,1982,3,28.4,60.7
Movie 489,Adventure,1980,7.2,40.4,26.8
Movie 490,Drama,2012,3.1,52.3,82.1
Movie 491,Thriller,2019,6.6,39.8,97.5
Movie 492,Adventure,1989,7.7,77.9,29.3
Movie 493,Horror,2022,3,39.6,26.8
Movie 494,Horror,2023,1.5,22.4,50.9
Movie 495,Action,2008,2.2,45.9,77.3
Movie 496,Sci-Fi,1992,6.5,98.2,35.3
Movie 497,Adventure,1991,8.6,30.3,11.8
Movie 498,Comedy,2010,1.4,65.1,58.7
Movie 499,Horror,1981,7.6,49,96.1
Movie 500,Horror,2014,4.1,16.4,45.2
Movie 501,Adventure,2002,5.3,53.9,47.8
Movie 502,Romance,1996,9.4,73.2,97.2
Movie 503,Action,2005,4,56.2,72.5
Movie 504,Animation,1987,5.2,88.5,74.7
Movie 505,Sci-Fi,2008,1.1,36,60.6
Movie 506,Animation,2005,1.7,17.8,97.7
Movie 507,Romance,1989,3.3,94.3,72
Movie 508,Comedy,2005,1.3,44,90.6
Movie 509,Documentary,2013,6.7,61.9,72.9
Movie 510,Sci-Fi,2020,4.8,81.3,76.2
Movie 511,Horror,1986,5.9,39.2,36.1
Movie 512,Drama,1983,2.6,74.5,37.3
Movie 513,Adventure,2024,3.7,22.2,80.5
Movie 514,Romance,1990,7,36.2,36.7
Movie 515,Horror,2008,9.7,23,60.6
Movie 516,Romance,2015,1.5,83,32.4
Movie 517,Animation,2004,9,30,83.5
Movie 518,Sci-Fi,2000,6.2,74.6,19.9
Movie 519,Thriller,2015,6.1,94.9,84.7
Movie 520,Horror,1989,5.5,57.5,64.2
Movie 521,Sci-Fi,2016,1.6,58.6,26.8
Movie 522,Drama,1988,1.8,51.5,58.8
Movie 523,Animation,2003,6.4,39.3,35.4
Movie 524,Documentary,2014,4.1,52.8,39.1
Movie 525,Action,2014,9.3,64.3,41.6
Movie 526,Horror,2015,4.7,98.7,15.7
Movie 527,Documentary,1997,2.3,94.4,98.7
Movie 528,Comedy,2018,7.4,87.6,12.8
Movie 529,Action,2011,3.6,90,69.6
Movie 530,Animation,2003,5.7,52.1,43.4
Movie 531,Sci-Fi,2002,7.3,69.2,68.1
Movie 532,Sci-Fi,2011,9.1,90.6,42.1
Movie 533,Action,2016,8.1,45.4,70.6
Movie 534,Adventure,1991,7.1,96.6,75.6
Movie 535,Horror,1992,7.1,47.4,72.1
Movie 536,Horror,2002,9.5,64.1,20.3
Movie 537,Action,2004,3.7,73.9,69.1
Movie 538,Documentary,2014,1,95.6,35.2
Movie 539,Thriller,2020,3.4,32,12.6
Movie 540,Sci-Fi,2009,3,77.2,47.3
Movie 541,Thriller,1996,7,56.9,49
Movie 542,Sci-Fi,1999,6.7,34.2,52
Movie 543,Sci-Fi,2004,6.3,79.9,73.4
Movie 544,Action,2001,1.1,59.7,37.8
Movie 545,Comedy,1992,7.6,69.5,38.4
Movie 546,Thriller,1998,3.9,39.1,15.4
Movie 547,Romance,2015,7,53.3,71.8
Movie 548,Documentary,1991,6,65.6,61.1
Movie 549,Horror,2020,4.1,46.4,41.4
Movie 550,Action,1998,2.2,27.9,73.5
Movie 551,Comedy,1991,1.8,96.5,58.4
Movie 552,Action,1988,8.5,56,52.2
